page,hizbQuarter,surah,ayah,first_word,last_codepoint,glyph_name,advance,xMax,clearance
442,177,36,28,ﱁﱂ,0xfc42,uniFC42,2936,2696,240
444,178,36,60,ﱣﱤ,0xfc64,uniFC64,2317,2077,240
446,179,37,22,ﳄﳅ,0xfcc5,uniFCC5,6079,5839,240
449,180,37,83,ﱟﱠ,0xfc60,uniFC60,3407,3167,240
451,181,37,145,ﲝﲞ,0xfc9e,uniFC9E,6566,6326,240
454,182,38,21,ﱤﱥ,0xfc65,uniFC65,4134,3894,240
456,183,38,52,ﲒﲓ,0xfc93,uniFC93,7009,6769,240
459,184,39,8,ﲏﲐ,0xfc90,uniFC90,3515,3275,240
462,185,39,32,ﱁﱂ,0xfc42,uniFC42,3807,3567,240
464,186,39,53,ﲓﲔ,0xfc94,uniFC94,2635,2395,240
467,187,40,1,ﱕ,0xfc55,uniFC55,3486,3246,240
469,188,40,21,ﱻﱼ,0xfc7c,uniFC7C,3609,3369,240
472,189,40,41,ﱁﱂ,0xfc42,uniFC42,5160,4920,240
474,190,40,66,ﲰﲱ,0xfcb1,uniFCB1,2714,2474,240
477,191,41,9,ﲏﲐ,0xfc90,uniFC90,2249,2009,240
479,192,41,25,ﲂﲃ,0xfc83,uniFC83,6615,6375,240
482,193,41,47,ﱁﱂ,0xfc42,uniFC42,4059,3819,240
484,194,42,13,ﱨﱩ,0xfc69,uniFC69,5205,4965,240
486,195,42,27,ﲗﲘ,0xfc98,uniFC98,2498,2258,240
488,196,42,51,ﳇﳈ,0xfcc8,uniFCC8,3022,2782,240
491,197,43,24,ﱗﱘ,0xfc58,uniFC58,2968,2728,240
493,198,43,57,ﲤﲥ,0xfca5,uniFCA5,3648,3408,240
496,199,44,17,ﲶﲷ,0xfcb7,uniFCB7,4096,3856,240
499,200,45,12,ﳃﳄ,0xfcc4,uniFCC4,2789,2549,240
502,201,46,1,ﲁ,0xfc81,uniFC81,3620,3380,240
505,202,46,21,ﱁﱂ,0xfc42,uniFC42,4370,4130,240
507,203,47,10,ﲾﲿ,0xfcbf,uniFCBF,3130,2890,240
510,204,47,33,ﱯﱰ,0xfc70,uniFC70,4667,4427,240
513,205,48,18,ﱾﱿ,0xfc7f,uniFC7F,3776,3536,240
515,206,49,1,ﱾ,0xfc7e,uniFC7E,4498,4258,240
517,207,49,14,ﱼﱽ,0xfc7d,uniFC7D,4029,3789,240
519,208,50,27,ﲨﲩ,0xfca9,uniFCA9,2491,2251,240
522,209,51,31,ﱁﱂ,0xfc42,uniFC42,2867,2627,240
524,210,52,24,ﲙﲚ,0xfc9a,uniFC9A,5754,5514,240
526,211,53,26,ﳔﳕ,0xfcd5,uniFCD5,2523,2283,240
529,212,54,9,ﱔﱕ,0xfc55,uniFC55,5274,5034,240
531,213,55,1,ﱧ,0xfc67,uniFC67,5117,4877,240
534,214,56,1,ﱳ,0xfc73,uniFC73,2493,2253,240
536,215,56,75,ﳊﳋ,0xfccb,uniFCCB,3170,2930,240
539,216,57,16,ﲠﲡ,0xfca1,uniFCA1,2638,2398,240
542,217,58,1,ﱁ,0xfc41,uniFC41,2353,2113,240
544,218,58,14,ﱵﱶ,0xfc76,uniFC76,2107,1867,240
547,219,59,11,ﱙﱚ,0xfc5a,uniFC5A,2668,2428,240
550,220,60,7,ﱖﱗ,0xfc57,uniFC57,4095,3855,240
553,221,62,1,ﱁ,0xfc41,uniFC41,4925,4685,240
554,222,63,4,ﲭﲮ,0xfcae,uniFCAE,3028,2788,240
558,223,65,1,ﱁ,0xfc41,uniFC41,4175,3935,240
560,224,66,1,ﱁ,0xfc41,uniFC41,4198,3958,240
562,225,67,1,ﱁ,0xfc41,uniFC41,4043,3803,240
564,226,68,1,ﱹﱺ,0xfc7a,uniFC7A,240,0,240
566,227,69,1,ﲟ,0xfc9f,uniFC9F,4837,4597,240
569,228,70,19,ﱪﱫ,0xfc6b,uniFC6B,2286,2046,240
572,229,72,1,ﱁ,0xfc41,uniFC41,2304,2064,240
575,230,73,20,ﱁﱂ,0xfc42,uniFC42,2434,2194,240
577,231,75,1,ﱺ,0xfc7a,uniFC7A,2107,1867,240
579,232,76,19,ﲩﲪ,0xfcaa,uniFCAA,4441,4201,240
582,233,78,1,ﱁ,0xfc41,uniFC41,2725,2485,240
585,234,80,1,ﱁ,0xfc41,uniFC41,4137,3897,240
587,235,82,1,ﱁ,0xfc41,uniFC41,2438,2198,240
589,236,84,1,ﱓ,0xfc53,uniFC53,2281,2041,240
591,237,87,1,ﲏ,0xfc8f,uniFC8F,4330,4090,240
594,238,90,1,ﱭ,0xfc6d,uniFC6D,1968,1728,240
596,239,94,1,ﲬ,0xfcac,uniFCAC,2546,2306,240
599,240,100,9,ﱐﱑ,0xfc51,uniFC51,5516,5276,240
